Code,Description1,Description2,Type,Unknown1,Unknown2,Unknown3,Unknown4,last_updated
A1001007,Dressing for one wound,Dressing for one wound,,,C,,200207012002,2025-09-12 20:34:03
A2001007,Dressing for two wounds,Dressing for two wounds,,,C,,200207012002,2025-09-12 20:34:03
A3001007,Dressing for three wounds,Dressing for three wounds,,,C,,200207012002,2025-09-12 20:34:03
A4001007,Dressing for four wounds,Dressing for four wounds,,,C,,200207012002,2025-09-12 20:34:03
A5001007,Dressing for five wounds,Dressing for five wounds,,,C,,200207012002,2025-09-12 20:34:03
A6001007,Dressing for six wounds,Dressing for six wounds,,,C,,200207012002,2025-09-12 20:34:03
A7001007,Dressing for seven wounds,Dressing for seven wounds,,,C,,200207012002,2025-09-12 20:34:03
A8001007,Dressing for eight wounds,Dressing for eight wounds,,,C,,200207012002,2025-09-12 20:34:03
A9001007,Dressing for nine or more wounds,Dressing for 9 or more wound,,,C,,200207012002,2025-09-12 20:34:03
AA001007,Anesthesia services performed personally by anesthesiologist,Anesthesia perf by anesgst                             3350.5,,,D,,198401012001,2025-09-12 20:34:03
AB001007,Audiology service furnished personally by an audiologist without a,Aud svs w/o order evry 12mo,,,C,,202301012023,2025-09-12 20:34:03
AB002008,physician/npp order for non-acute hearing assessment unrelated to,,,,,,,2025-09-12 20:34:03
AB003008,"disequilibrium, or hearing aids, or examinations for the purpose of",,,,,,,2025-09-12 20:34:03
AB004008,"prescribing, fitting, or changing hearing aids; service may be performed once",,,,,,,2025-09-12 20:34:03
AB005008,"every 12 months, per beneficiary",,,,,,,2025-09-12 20:34:03
AD001007,Medical supervision by a physician: more than four concurrent anesthesia,"Md supervision, >4 anes proc                           3350.5",,,D,,198401012001,2025-09-12 20:34:03
AD002008,procedures,,,,,,,2025-09-12 20:34:03
AE001007,Registered dietician,Registered dietician,,,C,,200501012005,2025-09-12 20:34:03
AF001007,Specialty physician,Specialty physician,,,C,,200501012005,2025-09-12 20:34:03
AG001007,Primary physician,Primary physician,,,C,,200501012005,2025-09-12 20:34:03
AH001007,Clinical psychologist,Clinical psychologist                                  2150    5112,,,D,,199101011997,2025-09-12 20:34:03
AI001007,Principal physician of record,Principal physician of rec,,,C,,201001012010,2025-09-12 20:34:03
AJ001007,Clinical social worker,Clinical social worker                                 2152    5113,,,D,,199101011997,2025-09-12 20:34:03
AK001007,Non participating physician,Non participating physician,,,C,,200501012005,2025-09-12 20:34:03
AM001007,"Physician, team member service","Physician, team member svc                             4105.7",,QM,D,0069,199101011997,2025-09-12 20:34:03
AO001007,Alternate payment method declined by provider of service,Prov declined alt pmt method,,,C,,201310012013,2025-09-12 20:34:03
AP001007,Determination of refractive state was not performed in the course of diagnostic,No dtmn of refractive state,,,C,,198401011997,2025-09-12 20:34:03
AP002008,ophthalmological examination,,,,,,,2025-09-12 20:34:03
AQ001007,Physician providing a service in an unlisted health professional shortage area,Physician service hpsa area,,,C,,200601012006,2025-09-12 20:34:03
AQ002008,(hpsa),,,,,,,2025-09-12 20:34:03
AR001007,Physician provider services in a physician scarcity area,Physician scarcity area,,,C,,200501012005,2025-09-12 20:34:03
AS001007,"Physician assistant, nurse practitioner, or clinical nurse specialist services",Assistant at surgery service,,,C,0069,198801011999,2025-09-12 20:34:03
AS002008,for assistant at surgery,,,,,,,2025-09-12 20:34:03
AT001007,"Acute treatment (this modifier should be used when reporting service 98940,",Acute treatment,,,C,,198401011998,2025-09-12 20:34:03
AT002008,"98941, 98942)",,,,,,,2025-09-12 20:34:03
AU001007,"Item furnished in conjunction with a urological, ostomy, or tracheostomy supply","Uro, ostomy or trach item",,,C,,200301012003,2025-09-12 20:34:03
AV001007,"Item furnished in conjunction with a prosthetic device, prosthetic or orthotic",Item w prosthetic/orthotic,,,C,,200301012003,2025-09-12 20:34:03
AW001007,Item furnished in conjunction with a surgical dressing,Item w a surgical dressing,,,C,,200301012003,2025-09-12 20:34:03
AX001007,Item furnished in conjunction with dialysis services,Item w dialysis services,,,C,,200301012003,2025-09-12 20:34:03
AY001007,Item or service furnished to an esrd patient that is not for the treatment of,Item/service not for esrd tx,,,C,,201101012011,2025-09-12 20:34:03
AY002008,esrd,,,,,,,2025-09-12 20:34:03
AZ001007,Physician providing a service in a dental health professional shortage area for,Physician serv in dent hpsa,,,I,,201101012011,2025-09-12 20:34:03
AZ002008,the purpose of an electronic health record incentive payment,,,,,,,2025-09-12 20:34:03
BA001007,Item furnished in conjunction with parenteral enteral nutrition (pen) services,Item w pen services,,,C,,200301012003,2025-09-12 20:34:03
BL001007,Special acquisition of blood and blood products,Spec acquisition blood prods,,,C,,200507012005,2025-09-12 20:34:03
BO001007,"Orally administered nutrition, not by feeding tube",Nutrition oral admin no tube,,,C,,200301012003,2025-09-12 20:34:03
BP001007,The beneficiary has been informed of the purchase and rental options and has,Bene electd to purchase item,,,C,,199201011997,2025-09-12 20:34:03
BP002008,elected to purchase the item,,,,,,,2025-09-12 20:34:03
BR001007,The beneficiary has been informed of the purchase and rental options and has,Bene elected to rent item,,,C,,199201011997,2025-09-12 20:34:03
BR002008,elected to rent the item,,,,,,,2025-09-12 20:34:03
BU001007,The beneficiary has been informed of the purchase and rental options and after,Bene undecided on purch/rent,,,C,,199201011997,2025-09-12 20:34:03
BU002008,30 days has not informed the supplier of his/her decision,,,,,,,2025-09-12 20:34:03
CA001007,Procedure payable only in the inpatient setting when performed emergently on an,Procedure payable inpatient,,,C,,200301012003,2025-09-12 20:34:03
CA002008,outpatient who expires prior to admission,,,,,,,2025-09-12 20:34:03
CB001007,Service ordered by a renal dialysis facility (rdf) physician as part of the,Esrd bene part a snf-sep pay,,,C,,200304012004,2025-09-12 20:34:03
CB002008,"esrd beneficiary's dialysis benefit, is not part of the composite rate, and is",,,,,,,2025-09-12 20:34:03
CB003008,separately reimbursable,,,,,,,2025-09-12 20:34:03
CC001007,Procedure code change (use 'cc' when the procedure code submitted was changed,Procedure code change,,,C,,199001011997,2025-09-12 20:34:03
CC002008,either for administrative reasons or because an incorrect code was filed),,,,,,,2025-09-12 20:34:03
CD001007,Amcc test has been ordered by an esrd facility or mcp physician that is part of,Amcc test for esrd or mcp md                           4270.2,,,D,,200401012004,2025-09-12 20:34:03
CD002008,the composite rate and is not separately billable,,,,,,,2025-09-12 20:34:03
CE001007,Amcc test has been ordered by an esrd facility or mcp physician that is a,Med neces amcc tst sep reimb                           4270.2,,,D,,200401012004,2025-09-12 20:34:03
CE002008,composite rate test but is beyond the normal frequency covered under the rate,,,,,,,2025-09-12 20:34:03
CE003008,and is separately reimbursable based on medical necessity,,,,,,,2025-09-12 20:34:03
CF001007,Amcc test has been ordered by an esrd facility or mcp physician that is not,Amcc tst not composite rate                            4270.2,,,D,,200401012004,2025-09-12 20:34:03
CF002008,part of the composite rate and is separately billable,,,,,,,2025-09-12 20:34:03
CG001007,Policy criteria applied,Policy criteria applied,,,C,,200807012008,2025-09-12 20:34:03
CH001007,"0 percent impaired, limited or restricted","0 percent impaired, ltd, res",,,D,0180,201301012013,2025-09-12 20:34:03
CI001007,"At least 1 percent but less than 20 percent impaired, limited or restricted",1 to <20 percent impaired,,,D,0180,201301012013,2025-09-12 20:34:03
CJ001007,"At least 20 percent but less than 40 percent impaired, limited or restricted",20 to <40 percent impaired,,,D,0180,201301012013,2025-09-12 20:34:03
CK001007,"At least 40 percent but less than 60 percent impaired, limited or restricted",40 to <60 percent impaired,,,D,0180,201301012013,2025-09-12 20:34:03
CL001007,"At least 60 percent but less than 80 percent impaired, limited or restricted",60 to <80 percent impaired,,,D,0180,201301012013,2025-09-12 20:34:03
CM001007,"At least 80 percent but less than 100 percent impaired, limited or restricted",80 to <100 percent impaired,,,D,0180,201301012013,2025-09-12 20:34:03
CN001007,"100 percent impaired, limited or restricted","100 percent impaired, ltd",,,D,0180,201301012013,2025-09-12 20:34:03
CO001007,Outpatient occupational therapy services furnished in whole or in part by an,Outpatient ot service by ota,,,C,,201901012019,2025-09-12 20:34:03
CO002008,occupational therapy assistant,,,,,,,2025-09-12 20:34:03
CP001007,Adjunctive service related to a procedure assigned to a comprehensive,C-apc adjunctive service,,,C,,201601012018,2025-09-12 20:34:03
CP002008,"ambulatory payment classification (c-apc) procedure, but reported on a",,,,,,,2025-09-12 20:34:03
CP003008,different claim,,,,,,,2025-09-12 20:34:03
CQ001007,Outpatient physical therapy services furnished in whole or in part by a,Outpatient pt service by pta,,,C,,201901012019,2025-09-12 20:34:03
CQ002008,physical therapist assistant,,,,,,,2025-09-12 20:34:03
CR001007,Catastrophe/disaster related,Catastrophe/disaster related,,,C,,200508212005,2025-09-12 20:34:03
CS001007,Cost-sharing waived for specified covid-19 testing-related services that result,Cost share waiver covid-19,,,C,,201101012020,2025-09-12 20:34:03
CS002008,in and order for or administration of a covid-19 test and/or used for,,,,,,,2025-09-12 20:34:03
CS003008,cost-sharing waived preventive services furnished via telehealth in rural,,,,,,,2025-09-12 20:34:03
CS004008,health clinics and federally qualified health centers during the covid-19,,,,,,,2025-09-12 20:34:03
CS005008,public health emergency,,,,,,,2025-09-12 20:34:03
CT001007,Computed tomography services furnished using equipment that does not meet each,Ct does not meet nema standa,,,C,,201601012016,2025-09-12 20:34:03
CT002008,of the attributes of the national electrical manufacturers association (nema),,,,,,,2025-09-12 20:34:03
CT003008,xr-29-2013 standard,,,,,,,2025-09-12 20:34:03
DA001007,Oral health assessment by a licensed health professional other than a dentist,"Oral health assess, not dent",,,C,,201101012011,2025-09-12 20:34:03
E1001007,"Upper left, eyelid",Upper left eyelid,,,C,,199501011999,2025-09-12 20:34:03
E2001007,"Lower left, eyelid",Lower left eyelid,,,C,,199501011999,2025-09-12 20:34:03
E3001007,"Upper right, eyelid",Upper right eyelid,,,C,,199501011999,2025-09-12 20:34:03
E4001007,"Lower right, eyelid",Lower right eyelid,,,C,,199501011999,2025-09-12 20:34:03
EA001007,Erythropoietic stimulating agent (esa) administered to treat anemia due to,"Esa, anemia, chemo-induced",,,D,0147,200801012008,2025-09-12 20:34:03
EA002008,anti-cancer chemotherapy,,,,,,,2025-09-12 20:34:03
EB001007,Erythropoietic stimulating agent (esa) administered to treat anemia due to,"Esa, anemia, radio-induced",,,D,0147,200801012008,2025-09-12 20:34:03
EB002008,anti-cancer radiotherapy,,,,,,,2025-09-12 20:34:03
EC001007,Erythropoietic stimulating agent (esa) administered to treat anemia not due to,"Esa, anemia, non-chemo/radio",,,D,0147,200801012008,2025-09-12 20:34:03
EC002008,anti-cancer radiotherapy or anti-cancer chemotherapy,,,,,,,2025-09-12 20:34:03
ED001007,Hematocrit level has exceeded 39% (or hemoglobin level has exceeded 13.0 g/dl),Hct>39% or hgb>13g>=3 cycle,,,D,0145,200801012008,2025-09-12 20:34:03
ED002008,for 3 or more consecutive billing cycles immediately prior to and including the,,,,,,,2025-09-12 20:34:03
ED003008,current cycle,,,,,,,2025-09-12 20:34:03
EE001007,Hematocrit level has not exceeded 39% (or hemoglobin level has not exceeded,Hct>39% or hgb>13g<3 cycle,,,D,0145,200801012008,2025-09-12 20:34:03
EE002008,13.0 g/dl) for 3 or more consecutive billing cycles immediately prior to and,,,,,,,2025-09-12 20:34:03
EE003008,including the current cycle,,,,,,,2025-09-12 20:34:03
EJ001007,"Subsequent claims for a defined course of therapy, e.g., epo, sodium",Subsequent claim                                       4273.2,,,D,,199101012000,2025-09-12 20:34:03
EJ002008,"hyaluronate, infliximab",,,,,,,2025-09-12 20:34:03
EM001007,Emergency reserve supply (for esrd benefit only),Emer reserve supply (esrd)                             3045.7,,,D,,199101011997,2025-09-12 20:34:03
EP001007,Service provided as part of medicaid early periodic screening diagnosis and,Medicaid epsdt program svc,,,C,,198701011997,2025-09-12 20:34:03
EP002008,treatment (epsdt) program,,,,,,,2025-09-12 20:34:03
ER001007,"Items and services furnished by a provider-based, off-campus emergency",Off-campus ed service,,,C,,201901012019,2025-09-12 20:34:03
ER002008,department,,,,,,,2025-09-12 20:34:03
ET001007,Emergency services,Emergency services,,,C,,198401012002,2025-09-12 20:34:03
EX001007,Expatriate beneficiary,Expatriate beneficiary,,,C,,201504012015,2025-09-12 20:34:03
EY001007,No physician or other licensed health care provider order for this item or,No md order for item/service,,,C,,200301012003,2025-09-12 20:34:03
EY002008,service,,,,,,,2025-09-12 20:34:03
F1001007,"Left hand, second digit","Left hand, second digit",,,C,,199501011999,2025-09-12 20:34:03
F2001007,"Left hand, third digit","Left hand, third digit",,,C,,199501011999,2025-09-12 20:34:03
F3001007,"Left hand, fourth digit","Left hand, fourth digit",,,C,,199501011999,2025-09-12 20:34:03
F4001007,"Left hand, fifth digit","Left hand, fifth digit",,,C,,199501011999,2025-09-12 20:34:03
F5001007,"Right hand, thumb","Right hand, thumb",,,C,,199501011999,2025-09-12 20:34:03
F6001007,"Right hand, second digit","Right hand, second digit",,,C,,199501011999,2025-09-12 20:34:03
F7001007,"Right hand, third digit","Right hand, third digit",,,C,,199501011999,2025-09-12 20:34:03
F8001007,"Right hand, fourth digit","Right hand, fourth digit",,,C,,199501011999,2025-09-12 20:34:03
F9001007,"Right hand, fifth digit","Right hand, fifth digit",,,C,,199501011999,2025-09-12 20:34:03
FA001007,"Left hand, thumb","Left hand, thumb",,,C,,199501011999,2025-09-12 20:34:03
FB001007,"Item provided without cost to provider, supplier or practitioner, or full",Item provided without cost,,,I,,200601012008,2025-09-12 20:34:03
FB002008,"credit received for replaced device (examples, but not limited to, covered",,,,,,,2025-09-12 20:34:03
FB003008,"under warranty, replaced due to defect, free samples)",,,,,,,2025-09-12 20:34:03
FC001007,Partial credit received for replaced device,"Part credit, replaced device",,,D,0143,200801012008,2025-09-12 20:34:03
FP001007,Service provided as part of family planning program,Svc part of family plan pgm,,,C,,198701012005,2025-09-12 20:34:03
FQ001007,The service was furnished using audio-only communication technology,Audio-only service,,,C,,202201012022,2025-09-12 20:34:03
FR001007,"The supervising practitioner was present through two-way, audio/video",Two-way a/v dir supervision,,,C,,202201012022,2025-09-12 20:34:03
FR002008,communication technology,,,,,,,2025-09-12 20:34:03
FS001007,Split (or shared) evaluation and management visit,Split or shared e/m visit,,,C,,202201012022,2025-09-12 20:34:03
FT001007,Unrelated evaluation and management (e/m) visit on the same day as another e/m,"Separate, unrelated e/m",,,C,,202201012022,2025-09-12 20:34:03
FT002008,"visit or during a global procedure (preoperative, postoperative period, or on",,,,,,,2025-09-12 20:34:03
FT003008,"the same day as the procedure, as applicable). (report when an e/m visit is",,,,,,,2025-09-12 20:34:03
FT004008,"furnished within the global period but is unrelated, or when one or more",,,,,,,2025-09-12 20:34:03
FT005008,additional e/m visits furnished on the same day are unrelated),,,,,,,2025-09-12 20:34:03
FX001007,X-ray taken using film,X-ray taken using film,,,C,,201701012017,2025-09-12 20:34:03
FY001007,X-ray taken using computed radiography technology/cassette-based imaging,Computed radiography x-ray,,,C,,201801012018,2025-09-12 20:34:03
G0001007,"Telehealth services for diagnosis, evaluation, or treatment, of symptoms of an",Telestroke,,,C,,201901012019,2025-09-12 20:34:03
G0002008,acute stroke,,,,,,,2025-09-12 20:34:03
G1001007,Most recent urr reading of less than 60,Urr reading of less than 60,,,C,,199701011998,2025-09-12 20:34:03
G2001007,Most recent urr reading of 60 to 64.9,Urr reading of 60 to 64.9,,,C,,199701011998,2025-09-12 20:34:03
G3001007,Most recent urr reading of 65 to 69.9,Urr  reading of 65 to 69.9,,,C,,199701011998,2025-09-12 20:34:03
G4001007,Most recent urr reading of 70 to 74.9,Urr reading of 70 to 74.9,,,C,,199701011997,2025-09-12 20:34:03
G5001007,Most recent urr reading of 75 or greater,Urr reading of 75 or greater,,,C,,199701011998,2025-09-12 20:34:03
G6001007,Esrd patient for whom less than six dialysis sessions have been provided in a,Esrd patient <6 dialysis/mth,,,C,,199805011998,2025-09-12 20:34:03
G6002008,month,,,,,,,2025-09-12 20:34:03
G7001007,Pregnancy resulted from rape or incest or pregnancy certified by physician as,Payment limits do not apply          35-99             2005.1,,,D,0084,199907011999,2025-09-12 20:34:03
G7002008,life threatening,,,,,,,2025-09-12 20:34:03
G8001007,"Monitored anesthesia care (mac) for deep complex, complicated, or markedly",Monitored anesthesia care,,,C,0083,199907011999,2025-09-12 20:34:03
G8002008,invasive surgical procedure,,,,,,,2025-09-12 20:34:03
G9001007,Monitored anesthesia care for patient who has history of severe,Mac for at risk patient,,,C,,199907011999,2025-09-12 20:34:03
G9002008,cardio-pulmonary condition,,,,,,,2025-09-12 20:34:03
GA001007,"Waiver of liability statement issued as required by payer policy, individual",Liability waiver ind case,,,C,,199501012011,2025-09-12 20:34:03
GA002008,case,,,,,,,2025-09-12 20:34:03
GB001007,Claim being re-submitted for payment because it is no longer covered under a,Claim resubmitted,,,C,,200201012002,2025-09-12 20:34:03
GB002008,global payment demonstration,,,,,,,2025-09-12 20:34:03
GC001007,This service has been performed in part by a resident under the direction of a,Resident/teaching phys serv                            3350.5  4116,,,D,,199701012001,2025-09-12 20:34:03
GC002008,teaching physician,,,,,,,2025-09-12 20:34:03
GD001007,Units of service exceeds medically unlikely edit value and represents,Unit of service > mue value,,,C,,200801012020,2025-09-12 20:34:03
GD002008,reasonable and necessary services,,,,,,,2025-09-12 20:34:03
GE001007,This service has been performed by a resident without the presence of a,Resident prim care exception                           4116,,,D,,199701011997,2025-09-12 20:34:03
GE002008,teaching physician under the primary care exception,,,,,,,2025-09-12 20:34:03
