level,type,usage,sort,parent,code,display_code,icd10_code,title_en,parent_title,detailed_title,definition,mortality_code,morbidity_code1,morbidity_code2,morbidity_code3,morbidity_code4,last_updated
3,N,X,1,A00,A00.-,A00,A00,Cholera,Cholera,,,001,4-002,3-003,2-001,1-002,2025-09-12 20:34:44
4,T,X,1,A00,A00.0,A00.0,A000,"Cholera due to Vibrio cholerae 01, biovar cholerae",Cholera,"Cholera due to Vibrio cholerae 01, biovar cholerae",,001,4-002,3-003,2-001,1-002,2025-09-12 20:34:44
4,T,X,1,A00,A00.1,A00.1,A001,"Cholera due to Vibrio cholerae 01, biovar eltor",Cholera,"Cholera due to Vibrio cholerae 01, biovar eltor",,001,4-002,3-003,2-001,1-002,2025-09-12 20:34:44
4,T,X,1,A00,A00.9,A00.9,A009,"Cholera, unspecified",Cholera,"Cholera, unspecified",,001,4-002,3-003,2-001,1-002,2025-09-12 20:34:44
3,N,X,1,A00,A01.-,A01,A01,Typhoid and paratyphoid fevers,Typhoid and paratyphoid fevers,,,002,4-002,3-003,2-003,1-004,2025-09-12 20:34:44
4,T,X,1,A00,A01.0,A01.0,A010,Typhoid fever,Typhoid and paratyphoid fevers,Typhoid fever,,002,4-002,3-003,2-003,1-004,2025-09-12 20:34:44
4,T,X,1,A00,A01.1,A01.1,A011,Paratyphoid fever A,Typhoid and paratyphoid fevers,Paratyphoid fever A,,002,4-002,3-003,2-003,1-004,2025-09-12 20:34:44
4,T,X,1,A00,A01.2,A01.2,A012,Paratyphoid fever B,Typhoid and paratyphoid fevers,Paratyphoid fever B,,002,4-002,3-003,2-003,1-004,2025-09-12 20:34:44
4,T,X,1,A00,A01.3,A01.3,A013,Paratyphoid fever C,Typhoid and paratyphoid fevers,Paratyphoid fever C,,002,4-002,3-003,2-003,1-004,2025-09-12 20:34:44
4,T,X,1,A00,A01.4,A01.4,A014,"Paratyphoid fever, unspecified",Typhoid and paratyphoid fevers,"Paratyphoid fever, unspecified",,002,4-002,3-003,2-003,1-004,2025-09-12 20:34:44
3,N,X,1,A00,A02.-,A02,A02,Other salmonella infections,Other salmonella infections,,,006,4-002,3-003,2-003,1-004,2025-09-12 20:34:44
4,T,X,1,A00,A02.0,A02.0,A020,Salmonella enteritis,Other salmonella infections,Salmonella enteritis,,006,4-002,3-003,2-003,1-004,2025-09-12 20:34:44
4,T,X,1,A00,A02.1,A02.1,A021,Salmonella sepsis,Other salmonella infections,Salmonella sepsis,,006,4-002,3-003,2-003,1-004,2025-09-12 20:34:44
4,T,X,1,A00,A02.2,A02.2,A022,Localized salmonella infections,Other salmonella infections,Localized salmonella infections,,006,4-002,3-003,2-003,1-004,2025-09-12 20:34:44
